1-Wire/iButton Part Number: DS1921H-F5
1-Wire/iButton Registration Number: 834F200001553621
Is Mission Active?  true
Mission Start:  Thu Jun 28 11:35:00 AEST 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  4751
Total Samples:  4751
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  46.375 �C
Low Temperature Alarm:  14.5 �C

Date/Time,Unit,Value
7/11/18, 7:55:00 PM,C,24.75
7/11/18, 8:05:00 PM,C,25.75
7/11/18, 8:15:00 PM,C,25.75
7/11/18, 8:25:00 PM,C,25.625
7/11/18, 8:35:00 PM,C,25.5
7/11/18, 8:45:00 PM,C,25.5
7/11/18, 8:55:00 PM,C,25.375
7/11/18, 9:05:00 PM,C,25.25
7/11/18, 9:15:00 PM,C,25.25
7/11/18, 9:25:00 PM,C,25.125
7/11/18, 9:35:00 PM,C,25
7/11/18, 9:45:00 PM,C,25
7/11/18, 9:55:00 PM,C,24.875
7/11/18, 10:05:00 PM,C,24.75
7/11/18, 10:15:00 PM,C,24.75
7/11/18, 10:25:00 PM,C,24.625
7/11/18, 10:35:00 PM,C,25.125
7/11/18, 10:45:00 PM,C,25.75
7/11/18, 10:55:00 PM,C,25.625
7/11/18, 11:05:00 PM,C,25.625
7/11/18, 11:15:00 PM,C,25.5
7/11/18, 11:25:00 PM,C,25.375
7/11/18, 11:35:00 PM,C,25.375
7/11/18, 11:45:00 PM,C,25.25
7/11/18, 11:55:00 PM,C,25.125
7/12/18, 12:05:00 AM,C,25.125
7/12/18, 12:15:00 AM,C,25
7/12/18, 12:25:00 AM,C,24.875
7/12/18, 12:35:00 AM,C,24.875
7/12/18, 12:45:00 AM,C,24.75
7/12/18, 12:55:00 AM,C,24.625
7/12/18, 1:05:00 AM,C,24.75
7/12/18, 1:15:00 AM,C,25.75
7/12/18, 1:25:00 AM,C,25.75
7/12/18, 1:35:00 AM,C,25.625
7/12/18, 1:45:00 AM,C,25.5
7/12/18, 1:55:00 AM,C,25.5
7/12/18, 2:05:00 AM,C,25.375
7/12/18, 2:15:00 AM,C,25.25
7/12/18, 2:25:00 AM,C,25.125
7/12/18, 2:35:00 AM,C,25
7/12/18, 2:45:00 AM,C,25
7/12/18, 2:55:00 AM,C,24.875
7/12/18, 3:05:00 AM,C,24.75
7/12/18, 3:15:00 AM,C,24.75
7/12/18, 3:25:00 AM,C,24.625
7/12/18, 3:35:00 AM,C,25.25
7/12/18, 3:45:00 AM,C,25.75
7/12/18, 3:55:00 AM,C,25.75
7/12/18, 4:05:00 AM,C,25.625
7/12/18, 4:15:00 AM,C,25.5
7/12/18, 4:25:00 AM,C,25.375
7/12/18, 4:35:00 AM,C,25.375
7/12/18, 4:45:00 AM,C,25.25
7/12/18, 4:55:00 AM,C,25.125
7/12/18, 5:05:00 AM,C,25
7/12/18, 5:15:00 AM,C,25
7/12/18, 5:25:00 AM,C,24.875
7/12/18, 5:35:00 AM,C,24.75
7/12/18, 5:45:00 AM,C,24.75
7/12/18, 5:55:00 AM,C,24.625
7/12/18, 6:05:00 AM,C,25.375
7/12/18, 6:15:00 AM,C,25.75
7/12/18, 6:25:00 AM,C,25.625
7/12/18, 6:35:00 AM,C,25.5
7/12/18, 6:45:00 AM,C,25.5
7/12/18, 6:55:00 AM,C,25.375
7/12/18, 7:05:00 AM,C,25.25
7/12/18, 7:15:00 AM,C,25.125
7/12/18, 7:25:00 AM,C,25.125
7/12/18, 7:35:00 AM,C,25
7/12/18, 7:45:00 AM,C,24.875
7/12/18, 7:55:00 AM,C,24.875
7/12/18, 8:05:00 AM,C,24.75
7/12/18, 8:15:00 AM,C,21
7/12/18, 8:25:00 AM,C,21.875
7/12/18, 8:35:00 AM,C,21.625
7/12/18, 8:45:00 AM,C,21.25
7/12/18, 8:55:00 AM,C,20.75
7/12/18, 9:05:00 AM,C,20.375
7/12/18, 9:15:00 AM,C,20.125
7/12/18, 9:25:00 AM,C,19.875
7/12/18, 9:35:00 AM,C,19.75
7/12/18, 9:45:00 AM,C,19.625
7/12/18, 9:55:00 AM,C,19.5
7/12/18, 10:05:00 AM,C,20.375
7/12/18, 10:15:00 AM,C,24.75
7/12/18, 10:25:00 AM,C,24.625
7/12/18, 10:35:00 AM,C,24.625
7/12/18, 10:45:00 AM,C,25.25
7/12/18, 10:55:00 AM,C,25.875
7/12/18, 11:05:00 AM,C,25.75
7/12/18, 11:15:00 AM,C,25.625
7/12/18, 11:25:00 AM,C,25.625
7/12/18, 11:35:00 AM,C,25.5
7/12/18, 11:45:00 AM,C,25.375
7/12/18, 11:55:00 AM,C,25.375
7/12/18, 12:05:00 PM,C,25.25
7/12/18, 12:15:00 PM,C,25.25
7/12/18, 12:25:00 PM,C,25.125
7/12/18, 12:35:00 PM,C,25
7/12/18, 12:45:00 PM,C,25
7/12/18, 12:55:00 PM,C,24.875
7/12/18, 1:05:00 PM,C,24.875
7/12/18, 1:15:00 PM,C,24.75
7/12/18, 1:25:00 PM,C,24.75
7/12/18, 1:35:00 PM,C,24.625
7/12/18, 1:45:00 PM,C,24.625
7/12/18, 1:55:00 PM,C,25.625
7/12/18, 2:05:00 PM,C,25.875
7/12/18, 2:15:00 PM,C,25.75
7/12/18, 2:25:00 PM,C,25.625
7/12/18, 2:35:00 PM,C,25.625
7/12/18, 2:45:00 PM,C,25.5
7/12/18, 2:55:00 PM,C,25.5
7/12/18, 3:05:00 PM,C,25.375
7/12/18, 3:15:00 PM,C,25.375
7/12/18, 3:25:00 PM,C,25.25
7/12/18, 3:35:00 PM,C,25.125
7/12/18, 3:45:00 PM,C,25.125
7/12/18, 3:55:00 PM,C,25
7/12/18, 4:05:00 PM,C,25
7/12/18, 4:15:00 PM,C,24.875
7/12/18, 4:25:00 PM,C,24.875
7/12/18, 4:35:00 PM,C,24.75
7/12/18, 4:45:00 PM,C,24.75
